ID;Jugador;Equipo;Posicion
ladislav-krejci-ii;Ladislav Krejcí;Girona FC;Defensas
gonzalo-aguilar;Lalo Aguilar;Albacete BP;Defensas
cabrera;Leandro Cabrera;RCD Espanyol de Barcelona;Defensas
logan-costa;Logan Evans Costa;Villarreal CF;Defensas
lorenzo-aguado-herrera;Lorenzo Aguado Herrera;Real Madrid;Defensas
loic-bade;Loïc Badé;Sevilla FC;Defensas
luca-lohr;Luca Löhr;Getafe CF;Defensas
lucas-alcazar-moreno;Lucas Alcázar;Real Betis;Defensas
lucas-rosa;Lucas Oliveira Rosa;Sin equipo;Defensas
lucas-v;Lucas Vázquez;Real Madrid;Defensas
l-perez;Luis Pérez;Real Valladolid CF;Defensas
luken-beitia;Luken Beitia;Real Sociedad;Defensas
m-sanchez;Manu Sánchez;Deportivo Alavés;Defensas
marash-kumbulla;Marash Kumbulla;RCD Espanyol de Barcelona;Defensas
bartra;Marc Bartra;Real Betis;Defensas
marco-de-las-sias;Marco de Las Sias;Rayo Vallecano;Defensas
marcos-alonso;Marcos Alonso;RC Celta;Defensas
marcao;Marcos do Nascimento Teixeira;Sevilla FC;Defensas
valjent;Martin Valjent;RCD Mallorca;Defensas
martin-conde;Martín Conde;RC Celta;Defensas
marvin-1;Marvin Park;UD Las Palmas;Defensas
mateu-morey;Mateu Morey;RCD Mallorca;Defensas
matija-nastasic;Matija Nastasic;CD Leganés;Defensas
max-aarons;Max Aarons;Valencia CF;Defensas
maximiliano-caufriez;Maximiliano Caufriez;Sin equipo;Defensas
miguel-3;Miguel Gutiérrez;Girona FC;Defensas
mihailo-ristic;Mihailo Ristic;RC Celta;Defensas
mika-marmol;Mika Mármol;UD Las Palmas;Defensas
diakhaby;Mouctar Diakhaby;Valencia CF;Defensas
moussa-diarra-1;Moussa Diarra;Deportivo Alavés;Defensas
nabil-aberdin;Nabil Aberdin;Getafe CF;Defensas
nacho-vidal;Nacho Vidal;Real Oviedo;Defensas
nahuel-molina;Nahuel Molina;Atlético de Madrid;Defensas
nahuel-tenaglia;Nahuel Tenaglia;Deportivo Alavés;Defensas
natan;Natan Bernardo de Souza;Real Betis;Defensas
nayef-aguerd;Nayef Aguerd;Real Sociedad;Defensas
nobel-mendy;Nobel Mendy;Real Betis;Defensas
omar-alderete;Omar Alderete;Getafe CF;Defensas
omar-1;Omar El Hilali;RCD Espanyol de Barcelona;Defensas
pablo-busto-1;Pablo Busto;Real Betis;Defensas
maffeo;Pablo Maffeo;RCD Mallorca;Defensas
pau-cubarsi;Pau Cubarsí;FC Barcelona;Defensas
pau-navarro;Pau Navarro;Villarreal CF;Defensas
pelayo-fernandez;Pelayo Fernández;Rayo Vallecano;Defensas
chavarria-1;Pep Chavarría;Rayo Vallecano;Defensas
ramon-martinez;Ramón Martínez;Sevilla FC;Defensas
r-albiol;Raúl Albiol;Villarreal CF;Defensas
raul;Raúl Asencio;Real Madrid;Defensas
raul-chasco;Raúl Chasco;Real Valladolid CF;Defensas
reinildo;Reinildo Isnard Mandava;Atlético de Madrid;Defensas
ricardo-rodriguez-1;Ricardo Rodríguez;Real Betis;Defensas
le-normand;Robin Le Normand;Atlético de Madrid;Defensas
rodrigo-abajas;Rodrigo Abajas;Valencia CF;Defensas
romain-perraud;Romain Perraud;Real Betis;Defensas
r-araujo;Ronald Araujo;FC Barcelona;Defensas
ruben-iranzo;Rubén Iranzo;Valencia CF;Defensas
r-pena;Rubén Peña;CA Osasuna;Defensas
santiago-mourino;Santiago Mouriño;Deportivo Alavés;Defensas
scott-mckenna;Scott McKenna;UD Las Palmas;Defensas
sebastian-john-wade-gardiner;Sebas Wade;RCD Mallorca;Defensas
sergi-cardona;Sergi Cardona;Villarreal CF;Defensas
sergi-dominguez;Sergi Domínguez;FC Barcelona;Defensas
s-gomez;Sergi Gómez;RCD Espanyol de Barcelona;Defensas
sergio-arribas-1;Sergio Arribas;Real Betis;Defensas
s-carreira;Sergio Carreira;RC Celta;Defensas
sergio-g;Sergio González;CD Leganés;Defensas
siebe-van-der-heyden;Siebe Van der Heyden;FC St. Pauli;Defensas
nianzou-kouassi;Tanguy Nianzou;Sevilla FC;Defensas
thierry-r;Thierry Rendall Correia;Sin equipo;Defensas
lato;Antonio Latorre Grueso;RCD Mallorca;Defensas
unai-egiluz;Unai Egiluz;CD Mirandés;Defensas
unai-garcia;Unai García;CA Osasuna;Defensas
nunez-2;Unai Núñez;Athletic Club;Defensas
valentin-rosier;Valentin Rosier;CD Leganés;Defensas
valentin-barco;Valentín Barco;Strasbourg;Defensas
valentin-pezzolesi;Valentín Pezzolesi;UD Las Palmas;Defensas
valery;Valery Fernández;RCD Mallorca;Defensas
willy-kambwala;Willy Kambwala;Villarreal CF;Defensas
xavier-pleguezuelo;Xavier Pleguezuelo;Real Betis;Defensas
yarek-gasiorowski;Yarek Gasiorowski;Valencia CF;Defensas
yeray-2;Yeray Álvarez;Athletic Club;Defensas
yoel-lago;Yoel Lago;RC Celta;Defensas
youssef-lekhedim;Youssef Lekhedim;Real Madrid;Defensas
youssouf-sabaly;Youssouf Sabaly;Real Betis;Defensas
yuri-b;Yuri Berchiche;Athletic Club;Defensas
alex-munoz;Álex Muñoz;UD Las Palmas;Defensas
alex-suarez;Álex Suárez;UD Las Palmas;Defensas
alex-valle;Álex Valle;Como;Defensas
alvaro-cortes-1;Álvaro Cortés;FC Barcelona;Defensas
odriozola;Álvaro Odriozola;Real Sociedad;Defensas
a-tejero;Álvaro Tejero;RCD Espanyol de Barcelona;Defensas
e-militao;Éder Gabriel Militão;Real Madrid;Defensas
i-lekue;Íñigo Lekue;Athletic Club;Defensas
de-marcos;Óscar De Marcos;Athletic Club;Defensas
mingueza;Óscar Mingueza;RC Celta;Defensas
aboubacar-bassinga;Aboubacar Bassinga;UD Las Palmas;Centrocampistas
januzaj;Adnan Januzaj;UD Las Palmas;Centrocampistas
aimar-1;Aimar Oroz;CA Osasuna;Centrocampistas
aitor-gismera;Aitor Gismera;Atlético de Madrid;Centrocampistas
alassane-diatta;Alassane Diatta;Villarreal CF;Centrocampistas
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;Sevilla FC;Centrocampistas
alberto-collado;Alberto Collado;Sevilla FC;Centrocampistas
a-moleiro;Alberto Moleiro;UD Las Palmas;Centrocampistas
alberto-risco;Alberto Risco;Getafe CF;Centrocampistas
alex-kral;Alex Král;RCD Espanyol de Barcelona;Centrocampistas
ali-fadal;Ali Fadal;Valencia CF;Centrocampistas
guevara;Ander Guevara;Deportivo Alavés;Centrocampistas
ander;Ander Herrera;Sin equipo;Centrocampistas
andre-almeida-1;Domingos André Ribeiro Almeida;Valencia CF;Centrocampistas
antonio-blanco;Antonio Blanco;Deportivo Alavés;Centrocampistas
sanchez;Antonio Sánchez;RCD Mallorca;Centrocampistas
a-tuhami;Anuar Tuhami;Real Valladolid CF;Centrocampistas
arda-guler;Arda Güler;Real Madrid;Centrocampistas
arsen-zakharyan;Arsen Zakharyan;Real Sociedad;Centrocampistas
arthur;Arthur Henrique Ramos de Oliveira Melo;Girona FC;Centrocampistas
arthur-vermeeren;Arthur Vermeeren;RB Leipzig;Centrocampistas
asier-osambela;Asier Osambela;CA Osasuna;Centrocampistas
aurelien-tchouameni;Aurélien Tchouaméni;Real Madrid;Centrocampistas
b-ramirez;Benito Ramírez;UD Las Palmas;Centrocampistas
benat-prados;Beñat Prados;Athletic Club;Centrocampistas
benat-turrientes;Beñat Turrientes;Real Sociedad;Centrocampistas
brahim;Brahim Díaz;Real Madrid;Centrocampistas
brais-mendez;Brais Méndez;Real Sociedad;Centrocampistas
alena;Carles Aleñá;Deportivo Alavés;Centrocampistas
carlos-benavidez;Carlos Benavídez;Deportivo Alavés;Centrocampistas
carlos-guirao;Carlos Guirao;Real Betis;Centrocampistas
chema-andres;José María Andres Baixauli;Real Madrid;Centrocampistas
christantus-uche;Christantus Uche;Getafe CF;Centrocampistas
ivan-cantalejo;Iván Cantalejo;Real Valladolid CF;Centrocampistas
conor-gallagher;Conor Gallagher;Atlético de Madrid;Centrocampistas
c-de-la-hoz;César de la Hoz;Real Oviedo;Centrocampistas
damian-rodriguez;Damián Rodríguez;RC Celta;Centrocampistas
d-ceballos;Dani Ceballos;Real Madrid;Centrocampistas
dani-olmo;Dani Olmo;FC Barcelona;Centrocampistas
parejo;Dani Parejo;Villarreal CF;Centrocampistas
daniel-requena;Dani Requena;Villarreal CF;Centrocampistas
dani-rodriguez;Dani Rodríguez;RCD Mallorca;Centrocampistas
daniel-luna;Daniel Luna;FC Cartagena;Centrocampistas
daouda-doumbia;Daouda Doumbia;Deportivo Alavés;Centrocampistas
darko;Darko Brasanac;CD Leganés;Centrocampistas
denis-suarez;Denis Suárez;Villarreal CF;Centrocampistas
diego-mendez;Diego Méndez;CD Eldense;Centrocampistas
djibril-sow;Djibril Sow;Sevilla FC;Centrocampistas
donny-van-de-beek;Donny van de Beek;Girona FC;Centrocampistas
dario-essugo;Dário Cassia Luís Essugo;UD Las Palmas;Centrocampistas
edu-exposito;Edu Expósito;RCD Espanyol de Barcelona;Centrocampistas
eduardo-camavinga;Eduardo Camavinga;Real Madrid;Centrocampistas
enric-garcia;Enric García;Girona FC;Centrocampistas
enzo-barrenechea;Enzo Barrenechea;Valencia CF;Centrocampistas
loiodice;Enzo Loiodice;UD Las Palmas;Centrocampistas
fabio;Fabio González;CD Tenerife;Centrocampistas
valverde-1;Federico Valverde;Real Madrid;Centrocampistas
fermin-lopez;Fermín López;FC Barcelona;Centrocampistas
fernando-lopez;Fernando López;RC Celta;Centrocampistas
florian-grillitsch;Florian Grillitsch;Real Valladolid CF;Centrocampistas
fran-beltran;Fran Beltrán;RC Celta;Centrocampistas
francisco-martinez-1;Fran Pérez;Valencia CF;Centrocampistas
franco-cervi;Franco Cervi;RC Celta;Centrocampistas
f-de-jong;Frenkie de Jong;FC Barcelona;Centrocampistas
gabriel-misehouy;Gabriel Misehouy;Girona FC;Centrocampistas
gavi;Pablo Páez Gavira;FC Barcelona;Centrocampistas
gumbau;Gerard Gumbau;Rayo Vallecano;Centrocampistas
lo-celso;Giovani Lo Celso;Real Betis;Centrocampistas
guille-fernandez;Guille Fernández;FC Barcelona;Centrocampistas
hugo-g;Hugo Guillamón;Valencia CF;Centrocampistas
hugo-sotelo;Hugo Sotelo;RC Celta;Centrocampistas
hugo-alvarez-1;Hugo Álvarez;RC Celta;Centrocampistas
losada;Iker Losada;RC Celta;Centrocampistas
iker-munoz;Iker Muñoz;CA Osasuna;Centrocampistas
ilaix;Moriba Kourouma Kourouma;RC Celta;Centrocampistas
isco;Francisco Román Alarcón Suárez;Real Betis;Centrocampistas
isi-2;Isi Palazón;Rayo Vallecano;Centrocampistas
