ID;Jugador;Equipo;Posicion
marashkumbulla;Marash Kumbulla;RCD Espanyol de Barcelona;Defensas
bartra;Marc Bartra;Real Betis;Defensas
marcodelassias;Marco de Las Sias;Rayo Vallecano;Defensas
marcosalonso;Marcos Alonso;RC Celta;Defensas
marcao;Marcos do Nascimento Teixeira;Sevilla FC;Defensas
valjent;Martin Valjent;RCD Mallorca;Defensas
martinconde;Martin Conde;RC Celta;Defensas
marvin1;Marvin Park;UD Las Palmas;Defensas
mateumorey;Mateu Morey;RCD Mallorca;Defensas
matijanastasic;Matija Nastasic;CD Leganes;Defensas
maxaarons;Max Aarons;Valencia CF;Defensas
maximilianocaufriez;Maximiliano Caufriez;Sin equipo;Defensas
miguel3;Miguel Gutierrez;Girona FC;Defensas
mihailoristic;Mihailo Ristic;RC Celta;Defensas
mikamarmol;Mika Marmol;UD Las Palmas;Defensas
diakhaby;Mouctar Diakhaby;Valencia CF;Defensas
moussadiarra1;Moussa Diarra;Deportivo Alaves;Defensas
nabilaberdin;Nabil Aberdin;Getafe CF;Defensas
nachovidal;Nacho Vidal;Real Oviedo;Defensas
nahuelmolina;Nahuel Molina;Atletico de Madrid;Defensas
nahueltenaglia;Nahuel Tenaglia;Deportivo Alaves;Defensas
natan;Natan Bernardo de Souza;Real Betis;Defensas
nayefaguerd;Nayef Aguerd;Real Sociedad;Defensas
nobelmendy;Nobel Mendy;Real Betis;Defensas
omaralderete;Omar Alderete;Getafe CF;Defensas
omar1;Omar El Hilali;RCD Espanyol de Barcelona;Defensas
pablobusto1;Pablo Busto;Real Betis;Defensas
maffeo;Pablo Maffeo;RCD Mallorca;Defensas
paucubarsi;Pau Cubarsi;FC Barcelona;Defensas
paunavarro;Pau Navarro;Villarreal CF;Defensas
pelayofernandez;Pelayo Fernandez;Rayo Vallecano;Defensas
chavarria1;Pep Chavarria;Rayo Vallecano;Defensas
ramonmartinez;Ramon Martinez;Sevilla FC;Defensas
ralbiol;Raul Albiol;Villarreal CF;Defensas
raul;Raul Asencio;Real Madrid;Defensas
raulchasco;Raul Chasco;Real Valladolid CF;Defensas
reinildo;Reinildo Isnard Mandava;Atletico de Madrid;Defensas
ricardorodriguez1;Ricardo Rodriguez;Real Betis;Defensas
lenormand;Robin Le Normand;Atletico de Madrid;Defensas
rodrigoabajas;Rodrigo Abajas;Valencia CF;Defensas
romainperraud;Romain Perraud;Real Betis;Defensas
raraujo;Ronald Araujo;FC Barcelona;Defensas
rubeniranzo;Ruben Iranzo;Valencia CF;Defensas
rpena;Ruben Pena;CA Osasuna;Defensas
santiagomourino;Santiago Mourino;Deportivo Alaves;Defensas
scottmckenna;Scott McKenna;UD Las Palmas;Defensas
sebastianjohnwadegardiner;Sebas Wade;RCD Mallorca;Defensas
sergicardona;Sergi Cardona;Villarreal CF;Defensas
sergidominguez;Sergi Dominguez;FC Barcelona;Defensas
sgomez;Sergi Gomez;RCD Espanyol de Barcelona;Defensas
sergioarribas1;Sergio Arribas;Real Betis;Defensas
scarreira;Sergio Carreira;RC Celta;Defensas
sergiog;Sergio Gonzalez;CD Leganes;Defensas
siebevanderheyden;Siebe Van der Heyden;FC St Pauli;Defensas
nianzoukouassi;Tanguy Nianzou;Sevilla FC;Defensas
thierryr;Thierry Rendall Correia;Sin equipo;Defensas
lato;Antonio Latorre Grueso;RCD Mallorca;Defensas
unaiegiluz;Unai Egiluz;CD Mirandes;Defensas
unaigarcia;Unai Garcia;CA Osasuna;Defensas
nunez2;Unai Nunez;Athletic Club;Defensas
