ID;Jugador;MJ;PJ;%PJ;PC;%PC;PT;%PT;PS;%PS;TA;TR;SA;G;PR;GPP;GE
sergio-gomez;Sergio Gómez;688;9;100.00;6;66.67;8;88.89;2;22.22;0;0;0;0;0;0;7
s-herrera;Sergio Herrera;810;9;100.00;9;100.00;9;100.00;0;0.00;1;0;0;0;0;0;14
sergio-mestre;Sergio Mestre;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
seydouba-cisse;Seydouba Cissé;611;9;100.00;2;22.22;7;77.78;5;55.56;0;0;0;0;0;0;6
sheraldo-becker;Sheraldo Becker;498;8;88.89;2;25.00;6;66.67;4;44.44;0;0;0;0;0;0;5
siebe-van-der-heyden;Siebe Van der Heyden;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
stanis-idumbo-muzambo;Stanis Idumbo Muzambo;8;1;11.11;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
stanko-juric;Stanko Juric;551;9;100.00;3;33.33;5;55.56;2;22.22;4;0;0;0;0;0;14
stipe-biuk;Stipe Biuk;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
stoichkov;Juan Diego Molina Martínez;506;8;88.89;2;25.00;6;66.67;4;44.44;1;0;0;0;0;0;9
dimitrievski;Stole Dimitrievski;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
suso;Jesús Joaquín Fernández Sáenz de la Torre;71;3;33.33;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sebastien-haller;Sébastien Haller;323;5;55.56;1;20.00;4;44.44;3;33.33;0;0;0;0;0;0;6
tadeo-allende;Tadeo Allende;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
take;Takefusa Kubo;633;9;100.00;3;33.33;7;77.78;4;44.44;1;0;0;2;0;0;6
takuma-asano;Takuma Asano;321;6;66.67;0;0.00;4;44.44;4;44.44;0;0;0;0;0;0;3
nianzou-kouassi;Tanguy Nianzou;429;5;55.56;4;80.00;5;55.56;1;11.11;1;1;1;0;0;1;5
tasos-douvikas;Tasos Douvikas;349;9;100.00;0;0.00;3;33.33;3;33.33;1;0;0;1;0;0;6
courtois;Thibaut Courtois;720;8;88.89;8;100.00;8;88.89;0;0.00;0;0;0;0;0;1;6
thierno-barry-1;Thierno Barry;533;8;88.89;5;62.50;5;55.56;0;0.00;1;0;0;2;1;0;9
thierry-r;Thierry Rendall Correia;644;9;100.00;4;44.44;7;77.78;3;33.33;0;0;0;0;0;0;11
lemar;Thomas Lemar;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
tomas-conechny;Tomás Conechny;394;6;66.67;1;16.67;5;55.56;4;44.44;2;0;0;1;0;0;7
toni-fernandez;Toni Fernández;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
lato;Antonio Latorre Grueso;173;4;44.44;1;25.00;2;22.22;1;11.11;0;1;0;0;0;0;1
t-martinez;Toni Martínez;274;6;66.67;0;0.00;3;33.33;3;33.33;0;0;0;2;0;0;5
toni-villa;Laureano Antonio Villa Suárez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sadiq;Umar Sadiq;185;5;55.56;0;0.00;2;22.22;2;22.22;1;0;0;0;0;0;2
unai-egiluz;Unai Egiluz;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
unai-garcia;Unai García;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
unai-gomez;Unai Gómez;286;9;100.00;0;0.00;2;22.22;2;22.22;1;0;0;0;0;0;5
unai-lopez;Unai López;501;9;100.00;1;11.11;6;66.67;5;55.56;4;0;0;2;0;0;4
marrero;Unai Marrero;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
nunez-2;Unai Núñez;180;2;22.22;2;100.00;2;22.22;0;0.00;0;0;0;0;0;0;1
gonzalez-de-zarate;Urko González;45;1;11.11;0;0.00;1;11.11;1;11.11;1;0;0;0;0;0;0
valentin-rosier;Valentin Rosier;753;9;100.00;8;88.89;8;88.89;0;0.00;4;0;0;0;0;0;8
valentin-barco;Valentín Barco;249;5;55.56;1;20.00;3;33.33;2;22.22;0;0;0;0;0;0;4
valentin-pezzolesi;Valentín Pezzolesi;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
valery;Valery Fernández;104;5;55.56;0;0.00;0;0.00;0;0.00;1;0;0;2;0;0;2
vedat-muriqi;Vedat Muriqi;469;6;66.67;4;66.67;5;55.56;1;11.11;0;0;0;1;0;0;4
guaita;Vicente Guaita;450;5;55.56;5;100.00;5;55.56;0;0.00;0;0;0;0;0;0;6
viktor-tsygankov;Viktor Tsyhankov;443;6;66.67;2;33.33;6;66.67;4;44.44;1;0;0;1;0;0;7
vini-jr;Vinícius José Paixão de Oliveira Júnior;729;9;100.00;2;22.22;8;88.89;6;66.67;3;0;0;4;2;0;4
viti;Viti Rozada;346;8;88.89;2;25.00;3;33.33;1;11.11;1;0;0;0;0;0;8
vitor-roque;Vitor Hugo Roque Ferreira;309;6;66.67;0;0.00;3;33.33;3;33.33;0;0;0;1;0;0;4
v-meseguer;Víctor Meseguer;262;7;77.78;1;14.29;2;22.22;1;11.11;0;0;0;0;0;0;3
victor-puig;Víctor Puig;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
walid-cheddira;Walid Cheddira;224;7;77.78;0;0.00;2;22.22;2;22.22;1;0;0;0;1;0;1
warren-madrigal;Warren Madrigal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
william-2;William Silva de Carvalho;250;4;44.44;1;25.00;4;44.44;3;33.33;0;0;0;0;0;0;1
williot-swedberg;Williot Swedberg;376;9;100.00;0;0.00;4;44.44;4;44.44;1;0;0;1;0;0;5
willy-kambwala;Willy Kambwala;90;1;11.11;1;100.00;1;11.11;0;0.00;0;0;0;0;0;0;1
herrera-1;Yangel Herrera;549;8;88.89;3;37.50;7;77.78;4;44.44;2;0;0;1;0;0;5
yarek-gasiorowski;Yarek Gasiorowski;270;3;33.33;3;100.00;3;33.33;0;0.00;0;0;0;0;0;0;5
jesus-santiago;Jesús Santiago Pérez;165;7;77.78;0;0.00;2;22.22;2;22.22;1;0;0;0;0;0;1
yeray-2;Yeray Álvarez;360;4;44.44;4;100.00;4;44.44;0;0.00;2;0;0;0;0;0;4
yeremy;Yeremy Pino;327;7;77.78;0;0.00;4;44.44;4;44.44;2;0;0;0;0;0;9
youssouf-sabaly;Youssouf Sabaly;332;4;44.44;3;75.00;4;44.44;1;11.11;0;0;0;0;0;0;3
yuri-b;Yuri Berchiche;481;7;77.78;5;71.43;5;55.56;0;0.00;0;0;0;0;0;0;8
yvan-neyou;Yvan Neyou;447;6;66.67;2;33.33;5;55.56;3;33.33;3;0;0;0;0;0;2
yaser-asprilla;Yáser Asprilla;338;6;66.67;1;16.67;3;33.33;2;22.22;1;0;0;1;0;0;4
alex-b;Álex Baena;580;8;88.89;2;25.00;7;77.78;5;55.56;2;0;0;1;0;0;13
alejandro-gil;Álex Gil;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-munoz;Álex Muñoz;520;7;77.78;3;42.86;6;66.67;3;33.33;0;0;0;1;0;0;11
alex-padilla;Alejandro Padilla;320;5;55.56;3;60.00;3;33.33;0;0.00;0;0;0;0;0;1;6
a-remiro;Álex Remiro;810;9;100.00;9;100.00;9;100.00;0;0.00;0;0;0;0;0;0;8
a-sola;Álex Sola;623;9;100.00;0;0.00;8;88.89;8;88.89;3;0;0;0;0;0;6
alex-suarez;Álex Suárez;545;7;77.78;4;57.14;7;77.78;3;33.33;2;0;0;0;0;1;11
alex-valle;Álex Valle;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-aceves;Álvaro Aceves;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aguado-1;Álvaro Aguado;226;7;77.78;0;0.00;2;22.22;2;22.22;1;0;0;0;0;0;3
alvaro-djalo;Álvaro Djaló Dias Fernandes;184;5;55.56;0;0.00;2;22.22;2;22.22;0;0;0;1;0;0;2
alvaro-fernandez;Álvaro Fernández;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-1;Álvaro García;373;7;77.78;0;0.00;4;44.44;4;44.44;1;0;0;1;0;0;3
alvaro-killane;Álvaro Killane;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
odriozola;Álvaro Odriozola;30;1;11.11;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-rodriguez-3;Álvaro Rodríguez;17;2;22.22;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
a-tejero;Álvaro Tejero;408;8;88.89;1;12.50;5;55.56;4;44.44;0;0;0;0;0;0;7
correa;Ángel Correa;184;8;88.89;0;0.00;0;0.00;0;0.00;0;0;0;2;0;0;0
angel-f;Ángel Fortuño;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aron-yaakobishvili;Áron Yaakobishvili;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
e-militao;Éder Gabriel Militão;730;9;100.00;7;77.78;8;88.89;1;11.11;1;0;0;1;0;0;4
i-lekue;Íñigo Lekue;315;6;66.67;3;50.00;3;33.33;0;0.00;1;0;0;0;0;0;4
r-de-galarreta;Íñigo Ruíz de Galarreta;237;5;55.56;0;0.00;3;33.33;3;33.33;1;0;0;0;0;0;3
de-marcos;Óscar De Marcos;418;5;55.56;3;60.00;5;55.56;2;22.22;0;0;0;0;0;0;4
mingueza;Óscar Mingueza;589;8;88.89;5;62.50;8;88.89;3;33.33;2;0;0;2;0;0;12
oscar-4;Óscar Rodríguez;317;7;77.78;0;0.00;4;44.44;4;44.44;2;0;0;0;1;0;1
oscar-trejo;Óscar Trejo;130;3;33.33;0;0.00;2;22.22;2;22.22;0;0;0;0;0;0;1
oscar-5;Óscar Valentín;633;9;100.00;5;55.56;7;77.78;2;22.22;0;0;0;0;0;0;6
