ID;Jugador;Equipo;Posicion
marco-de-las-sias;Marco de Las Sias;Rayo Vallecano;Defensas
marcao;Marcos do Nascimento Teixeira;Sevilla FC;Defensas
valjent;Martin Valjent;RCD Mallorca;Defensas
marvin-1;Marvin Olawale Akinlabi Park;UD Las Palmas;Defensas
mateu-morey;Mateu Morey;RCD Mallorca;Defensas
miguel-3;Miguel Gutierrez;Girona FC;Defensas
mika-marmol;Mika Marmol;UD Las Palmas;Defensas
moussa-diarra-1;Moussa Diarra;Deportivo Alaves;Defensas
nabil-aberdin;Nabil Aberdin;Sin equipo;Defensas
nacho-vidal;Nacho Vidal;CA Osasuna;Defensas
nahuel-molina;Nahuel Molina;Atletico de Madrid;Defensas
nahuel-tenaglia;Nahuel Tenaglia;Deportivo Alaves;Defensas
natan;Natan Bernardo de Souza;Real Betis;Defensas
omar-alderete;Omar Alderete;Getafe CF;Defensas
omar-1;Omar El Hilali;RCD Espanyol de Barcelona;Defensas
maffeo;Pablo Maffeo;RCD Mallorca;Defensas
pau-cubarsi;Pau Cubarsi;FC Barcelona;Defensas
pau-navarro;Pau Navarro;Villarreal CF;Defensas
pelayo-fernandez;Pelayo Fernandez;Rayo Vallecano;Defensas
chavarria-1;Pep Chavarria;Rayo Vallecano;Defensas
r-albiol;Raul Albiol;Villarreal CF;Defensas
reinildo;Reinildo Isnard Mandava;Atletico de Madrid;Defensas
ricardo-rodriguez-1;Ricardo Rodriguez;Real Betis;Defensas
le-normand;Robin Le Normand;Atletico de Madrid;Defensas
rodrigo-abajas;Rodrigo Abajas;Valencia CF;Defensas
romain-perraud;Romain Perraud;Real Betis;Defensas
r-pena;Ruben Pena;CA Osasuna;Defensas
santiago-mourino;Santiago Mourino;Deportivo Alaves;Defensas
scott-mckenna;Scott McKenna;UD Las Palmas;Defensas
sergi-cardona;Sergi Cardona;Villarreal CF;Defensas
sergi-dominguez;Sergi Dominguez;FC Barcelona;Defensas
s-gomez;Sergi Gomez;RCD Espanyol de Barcelona;Defensas
s-carreira;Sergio Carreira;RC Celta;Defensas
sergio-g;Sergio Gonzalez;CD Leganes;Defensas
sergio-gomez;Sergio Gomez;Real Sociedad;Defensas
siebe-van-der-heyden;Siebe Van der Heyden;RCD Mallorca;Defensas
nianzou-kouassi;Tanguy Nianzou;Sevilla FC;Defensas
thierry-r;Thierry Rendall Correia;Valencia CF;Defensas
lato;Antonio Latorre Grueso;RCD Mallorca;Defensas
unai-egiluz;Unai Egiluz;CD Mirandes;Defensas
unai-garcia;Unai Garcia;CA Osasuna;Defensas
nunez-2;Unai Nunez;Athletic Club;Defensas
valentin-rosier;Valentin Rosier;CD Leganes;Defensas
valentin-barco;Valentin Barco;Sin equipo;Defensas
valentin-pezzolesi;Valentin Pezzolesi;UD Las Palmas;Defensas
willy-kambwala;Willy Kambwala;Villarreal CF;Defensas
yarek-gasiorowski;Yarek Gasiorowski;Valencia CF;Defensas
yeray-2;Yeray Alvarez;Athletic Club;Defensas
youssouf-sabaly;Youssouf Sabaly;Real Betis;Defensas
yuri-b;Yuri Berchiche;Athletic Club;Defensas
alex-munoz;Alex Munoz;UD Las Palmas;Defensas
a-sola;Alex Sola;Getafe CF;Defensas
alex-suarez;Alex Suarez;UD Las Palmas;Defensas
alex-valle;Alex Valle;Sin equipo;Defensas
a-tejero;Alvaro Tejero;RCD Espanyol de Barcelona;Defensas
e-militao;Eder Gabriel Militao;Real Madrid;Defensas
i-lekue;Inigo Lekue;Athletic Club;Defensas
de-marcos;Oscar De Marcos;Athletic Club;Defensas
mingueza;Oscar Mingueza;RC Celta;Defensas
abel-bretones;Abel Bretones;CA Osasuna;Centrocampistas
aboubacar-bassinga;Aboubacar Bassinga;Sin equipo;Centrocampistas
aimar-1;Aimar Oroz;CA Osasuna;Centrocampistas
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;Sevilla FC;Centrocampistas
alberto-collado;Alberto Collado;Sevilla FC;Centrocampistas
a-moleiro;Alberto Moleiro;UD Las Palmas;Centrocampistas
alberto-risco;Alberto Risco;Getafe CF;Centrocampistas
alex-kral;Alex Kral;RCD Espanyol de Barcelona;Centrocampistas
ali-fadal;Ali Fadal;Valencia CF;Centrocampistas
guevara;Ander Guevara;Deportivo Alaves;Centrocampistas
ander;Ander Herrera;Athletic Club;Centrocampistas
andre-almeida-1;Domingos Andre Ribeiro Almeida;Valencia CF;Centrocampistas
antonio-blanco;Antonio Blanco;Deportivo Alaves;Centrocampistas
sanchez;Antonio Sanchez;RCD Mallorca;Centrocampistas
arda-guler;Arda Guler;Real Madrid;Centrocampistas
arthur-vermeeren;Arthur Vermeeren;RB Leipzig;Centrocampistas
aurelien-tchouameni;Aurelien Tchouameni;Real Madrid;Centrocampistas
b-ramirez;Benito Ramirez;UD Las Palmas;Centrocampistas
benat-turrientes;Benat Turrientes;Real Sociedad;Centrocampistas
brahim;Brahim Diaz;Real Madrid;Centrocampistas
brais-mendez;Brais Mendez;Real Sociedad;Centrocampistas
alena;Carles Alena;Getafe CF;Centrocampistas
carlos-benavidez;Carlos Benavidez;Deportivo Alaves;Centrocampistas
carlos-guirao;Carlos Guirao;Sin equipo;Centrocampistas
christantus-uche;Christantus Uche;Getafe CF;Centrocampistas
ivan-cantalejo;Ivan Cantalejo;Real Valladolid CF;Centrocampistas
conor-gallagher;Conor Gallagher;Atletico de Madrid;Centrocampistas
c-de-la-hoz;Cesar de la Hoz;Real Valladolid CF;Centrocampistas
damian-rodriguez;Damian Rodriguez;RC Celta;Centrocampistas
d-ceballos;Dani Ceballos;Real Madrid;Centrocampistas
dani-olmo;Dani Olmo;FC Barcelona;Centrocampistas
parejo;Dani Parejo;Villarreal CF;Centrocampistas
dani-rodriguez;Dani Rodriguez;RCD Mallorca;Centrocampistas
daniel-luna;Daniel Luna;RCD Mallorca;Centrocampistas
daniel-requena;Daniel Requena;Villarreal CF;Centrocampistas
darko;Darko Brasanac;CD Leganes;Centrocampistas
djibril-sow;Djibril Sow;Sevilla FC;Centrocampistas
donny-van-de-beek;Donny van de Beek;Girona FC;Centrocampistas
enzo-barrenechea;Enzo Barrenechea;Sin equipo;Centrocampistas
loiodice;Enzo Loiodice;UD Las Palmas;Centrocampistas
jhon-solis;Jhon Solis;Girona FC;Centrocampistas
casals;Joel Roca;CD Mirandes;Centrocampistas
j-patrick;John Patrick;Getafe CF;Centrocampistas
joao-cardoso;Johnny Cardoso;Real Betis;Centrocampistas
guridi;Jon Guridi;Deportivo Alaves;Centrocampistas
jon-magunacelaya;Jon Magunazelaia;Real Sociedad;Centrocampistas
moncayola;Jon Moncayola;CA Osasuna;Centrocampistas
jon-ander-olasagasti;Jon Olasagasti;Real Sociedad;Centrocampistas
j-g-campana;Jose Angel Gomez Campana;UD Las Palmas;Centrocampistas
gragera;Jose Gragera;RCD Espanyol de Barcelona;Centrocampistas
juan-cruz;Juan Cruz;CD Leganes;Centrocampistas
juanlu-1;Juanlu Sanchez;Sevilla FC;Centrocampistas
jude-bellingham;Jude Bellingham;Real Madrid;Centrocampistas
julian-chicco;Julian Chicco;CD Leganes;Centrocampistas
kike-1;Kike Perez;Real Valladolid CF;Centrocampistas
kirian;Kirian Rodriguez;UD Las Palmas;Centrocampistas
