ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
sebastian-john-wade-gardiner;Sebas Wade;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
selim-amallah;Selim Amallah;16;18;138;125;13;256;200;11;2;0.19;0.06;0.13;0.00;0.19;0.00;0.00
silvi-clua;Selvi Clua;0;8;28;19;9;93;71;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergi-altimira;Sergi Altimira;0;45;163;141;22;854;719;33;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergi-canos;Sergi Canós;4;10;61;50;11;127;74;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergi-cardona;Sergi Cardona;1;47;190;137;53;832;640;31;0;0.08;0.00;0.08;0.08;0.00;0.00;0.00
s-darder;Sergi Darder;43;30;145;131;14;649;481;57;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergi-dominguez;Sergi Domínguez;0;1;7;3;4;179;168;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergi-guardiola;Sergi Guardiola;0;3;26;18;8;48;32;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
s-gomez;Sergi Gómez;0;8;47;16;31;347;300;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergio-arribas-1;Sergio Arribas;0;7;9;8;1;41;28;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
camello;Sergio Camello;0;9;113;76;37;253;201;3;7;0.13;0.00;0.13;0.09;0.04;0.00;0.00
s-carreira;Sergio Carreira;1;22;68;58;10;344;262;12;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergio-g;Sergio González;0;27;148;67;81;1096;848;74;0;0.29;0.00;0.29;0.00;0.00;0.29;0.00
sergio-gomez;Sergio Gómez;88;51;162;132;30;858;694;30;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
s-herrera;Sergio Herrera;0;2;12;7;5;754;297;207;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergio-mestre;Sergio Mestre;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergio-ruiz-1;Sergio Ruiz;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sergio-vieira;Sergio Viera;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
seydouba-cisse;Seydouba Cissé;2;34;180;140;40;685;547;34;1;0.33;0.00;0.33;0.00;0.33;0.00;0.00
sheraldo-becker;Sheraldo Becker;2;2;57;34;23;219;157;8;0;0.12;0.00;0.12;0.00;0.12;0.00;0.00
siebe-van-der-heyden;Siebe Van der Heyden;0;1;10;7;3;63;54;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
stanis-idumbo-muzambo;Stanis Idumbo Muzambo;0;8;39;38;1;51;42;0;1;0.50;0.00;0.50;0.00;0.50;0.00;0.00
stanko-juric;Stanko Juric;0;41;176;123;53;592;491;14;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
stefan-bajcetic;Stefan Bajcetic;0;9;50;38;12;111;75;5;0;0.50;0.00;0.50;0.00;0.50;0.00;0.00
stipe-biuk;Stipe Biuk;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
stoichkov;Juan Diego Molina Martínez;0;14;85;64;21;200;121;10;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
dimitrievski;Stole Dimitrievski;0;0;0;0;0;108;27;16;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
suso;Jesús Joaquín Fernández Sáenz de la Torre;10;2;33;30;3;104;88;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sebastien-haller;Sébastien Haller;0;2;63;20;43;90;53;1;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
tadeo-allende;Tadeo Allende;0;0;1;1;0;3;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
tajon-buchanan;Tajon Buchanan;0;5;15;13;2;12;6;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
take;Takefusa Kubo;15;21;239;220;19;556;401;18;5;0.25;0.00;0.25;0.25;0.00;0.00;0.00
takuma-asano;Takuma Asano;0;7;62;46;16;111;75;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
tamas-nikitscher;Tamás Nikitscher;0;6;17;13;4;100;85;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nianzou-kouassi;Tanguy Nianzou;0;7;45;24;21;314;279;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
tasos-douvikas;Tasos Douvikas;0;9;115;77;38;105;74;1;0;0.20;0.00;0.20;0.00;0.13;0.07;0.00
