ID;Jugador;Equipo;Posicion
antonio-blanco;Antonio Blanco;Deportivo Alavés;Centrocampistas
sanchez;Antonio Sánchez;RCD Mallorca;Centrocampistas
arda-guler;Arda Güler;Real Madrid;Centrocampistas
arthur-vermeeren;Arthur Vermeeren;RB Leipzig;Centrocampistas
aurelien-tchouameni;Aurélien Tchouaméni;Real Madrid;Centrocampistas
b-ramirez;Benito Ramírez;UD Las Palmas;Centrocampistas
benat-turrientes;Beñat Turrientes;Real Sociedad;Centrocampistas
brahim;Brahim Díaz;Real Madrid;Centrocampistas
brais-mendez;Brais Méndez;Real Sociedad;Centrocampistas
alena;Carles Aleñá;Getafe CF;Centrocampistas
carlos-benavidez;Carlos Benavídez;Deportivo Alavés;Centrocampistas
carlos-guirao;Carlos Guirao;Sin equipo;Centrocampistas
christantus-uche;Christantus Uche;Getafe CF;Centrocampistas
ivan-cantalejo;Iván Cantalejo;Real Valladolid CF;Centrocampistas
conor-gallagher;Conor Gallagher;Atlético de Madrid;Centrocampistas
c-de-la-hoz;César de la Hoz;Real Valladolid CF;Centrocampistas
damian-rodriguez;Damián Rodríguez;RC Celta;Centrocampistas
d-ceballos;Dani Ceballos;Real Madrid;Centrocampistas
dani-olmo;Dani Olmo;FC Barcelona;Centrocampistas
parejo;Dani Parejo;Villarreal CF;Centrocampistas
dani-rodriguez;Dani Rodríguez;RCD Mallorca;Centrocampistas
daniel-luna;Daniel Luna;RCD Mallorca;Centrocampistas
daniel-requena;Daniel Requena;Villarreal CF;Centrocampistas
darko;Darko Brasanac;CD Leganés;Centrocampistas
djibril-sow;Djibril Sow;Sevilla FC;Centrocampistas
donny-van-de-beek;Donny van de Beek;Girona FC;Centrocampistas
enzo-barrenechea;Enzo Barrenechea;Sin equipo;Centrocampistas
loiodice;Enzo Loiodice;UD Las Palmas;Centrocampistas
jhon-solis;Jhon Solís;Girona FC;Centrocampistas
casals;Joel Roca;CD Mirandés;Centrocampistas
j-patrick;John Patrick;Getafe CF;Centrocampistas
joao-cardoso;Johnny Cardoso;Real Betis;Centrocampistas
guridi;Jon Guridi;Deportivo Alavés;Centrocampistas
jon-magunacelaya;Jon Magunazelaia;Real Sociedad;Centrocampistas
moncayola;Jon Moncayola;CA Osasuna;Centrocampistas
jon-ander-olasagasti;Jon Olasagasti;Real Sociedad;Centrocampistas
j-g-campana;José Ángel Gómez Campaña;UD Las Palmas;Centrocampistas
gragera;José Gragera;RCD Espanyol de Barcelona;Centrocampistas
juan-cruz;Juan Cruz;CD Leganés;Centrocampistas
juanlu-1;Juanlu Sánchez;Sevilla FC;Centrocampistas
jude-bellingham;Jude Bellingham;Real Madrid;Centrocampistas
julian-chicco;Julián Chicco;CD Leganés;Centrocampistas
kike-1;Kike Pérez;Real Valladolid CF;Centrocampistas
kirian;Kirian Rodríguez;UD Las Palmas;Centrocampistas
koke;Jorge Resurrección Merodio;Atlético de Madrid;Centrocampistas
l-ocampos;Lucas Ocampos;Sevilla FC;Centrocampistas
torro;Lucas Torró;CA Osasuna;Centrocampistas
lucas-v;Lucas Vázquez;Real Madrid;Centrocampistas
lucien-agoume;Lucien Agoumé;Sevilla FC;Centrocampistas
l-milla;Luis Milla;Getafe CF;Centrocampistas
modric;Luka Modric;Real Madrid;Centrocampistas
luka-sucic;Luka Sucic;Real Sociedad;Centrocampistas
manu-fuster;Manu Fuster;UD Las Palmas;Centrocampistas
morlanes;Manu Morlanes;RCD Mallorca;Centrocampistas
marc-bernal;Marc Bernal;FC Barcelona;Centrocampistas
marc-casado;Marc Casadó;FC Barcelona;Centrocampistas
marc-roca;Marc Roca;Real Betis;Centrocampistas
m-llorente;Marcos Llorente;Atlético de Madrid;Centrocampistas
mario-martin;Mario Martín;Real Valladolid CF;Centrocampistas
martin-tejon;Martín Tejón;Valencia CF;Centrocampistas
zubimendi;Martín Zubimendi;Real Sociedad;Centrocampistas
m-arambarri;Mauro Arambarri;Getafe CF;Centrocampistas
mikel-jauregizar;Mikel Jauregizar;Athletic Club;Centrocampistas
vesga;Mikel Vesga;Athletic Club;Centrocampistas
moi-gomez;Moi Gómez;CA Osasuna;Centrocampistas
naci-unuvar;Naci Ünüvar;Sin equipo;Centrocampistas
